年份,营业收入,营业成本,毛利润,营业利润,净利润,归母净利润,货币资金,流动资产,总资产,流动负债,总负债,短期借款,一年内到期的非流动负债,长期借款,应付债券,总有息债务,股东权益合计,经营活动现金流量净额,投资活动现金流量净额,筹资活动现金流量净额,利息费用,未分配利润,盈余公积,留存收益,营业收入增长率,毛利率,营业利润率,净利率,归母净利率,总资产回报率ROA,净资产收益率ROE,资产负债率,流动比率,短期有息债务,现金短债比,总有息债务占总资产比例,经营现金流净利润比,利息费用率,留存收益占股东权益比例
2021,4527.9777397414,3539.7713797214,988.2063600199999,525.3099723725,380.69527018019994,225.2403338322,1493.5244428876001,16002.683072918999,19386.3812869908,13114.4646733873,15458.6535217399,144.1250324923,479.3193167546,1543.2227896364002,530.2057173291,2696.8728562124,3927.7277652509,41.131609481999995,-262.8078618272,-231.0376749108,78.61346670479999,926.9844410085001,1111.8652056583,2038.8496466668003,,0.2182445269875461,0.11601425681975666,0.08407622388221857,0.04974413452948288,0.019637252798471724,0.09692506531340046,0.7973975799244908,1.2202315131774044,623.4443492469,2.3956018603612783,0.13911172055726215,0.10804339508218891,0.017361716691939772,0.5190913852799979
2022,5038.3836735876,4053.1928697964004,985.1908037911999,520.2904636966,376.12558798699996,226.8855180152,1372.0763492527,14153.5637995852,17578.0493589604,10778.0157201784,13521.6810593249,41.3330622489,639.2207334507,1807.7328062196,688.1557015564,3176.4423034755996,4056.3682996355,27.504494784400002,-130.3027119687,34.3891886029,58.8655177725,980.1389276392999,1177.4367708149,2157.5756984542,0.11272271269499456,0.19553707450978838,0.10326535202630276,0.07465203373826795,0.0450314094189745,0.02139745885940809,0.09272471338975756,0.7692367215041542,1.3131882683272729,680.5537956996,2.0161174001567717,0.180705050862564,0.07312582728445118,0.011683413091600581,0.5318983728987521
2023,4657.3907670223,3947.8385951778996,709.5521718444002,292.5170206441,204.55558414740003,121.6268436886,998.1375544781,11502.600623606799,15048.501721178302,8217.852584921,11019.1664117057,10.635618831,649.2682701666,1977.6414268389,598.7101594897,3236.2554753261998,4029.3353094726,39.1232392011,-46.156421063100005,-368.13164252,57.3747348208,936.1630189108,1262.2753685419,2198.4383874527,-0.07561808136259163,0.15234971840210262,0.06280705984890346,0.043920640199616,0.026114803282087935,0.01359308640404523,0.05076658268337919,0.7322434230245014,1.3997088052799838,659.9038889976,1.5125498896426872,0.21505499585860433,0.1912596977695232,0.012319072564633117,0.5456082005099878
2024,3431.7644071296004,3082.648714395,349.11569273460054,-456.4379628061,-487.03934402330003,-494.78429211959997,881.6286502203,9175.1207685503,12862.598597658201,7190.6181765072,9474.0519728208,144.30118508709998,1112.4084503866,849.8111736772,241.1313231988,2347.6521323497004,3388.5466248374,-128.4088797341,23.8326475171,-74.9994869133,74.4669337953,441.37872679120005,1262.2753685419,1703.6540953331,-0.26315729583418723,0.10173067009183426,-0.13300387458353363,-0.1419209730748009,-0.1441778145060511,-0.037864770506946525,-0.14373104399785872,0.7365581613147495,1.2759849769977718,1256.7096354737,0.7015372726795254,0.1825177171257696,0.26365196428146653,0.021699314102271286,0.502768379471494
2025,2334.3276896043,2113.4729177088,220.85477189549965,-709.9904440537,-918.1009110149,-885.5647049564,672.409497349,6973.7385403279,10206.2283153286,5651.9794746275,7847.6277349617,244.9158486238,859.9705853939,902.4097173475,112.9534868575,2120.2496382227,2358.6005803669,58.5836195158,12.16690528,-75.00209299229999,85.015087267,-444.18597816519997,1262.2753685419,818.0893903767001,-0.31978789547596587,0.09461172605673779,-0.3041520036863603,-0.3933042113596873,-0.3793660628283577,-0.08995496501249303,-0.38925662897618796,0.7689057595522776,1.2338577257107808,1104.8864340177001,0.6085779285966219,0.2077407611035239,-0.06380956473623327,0.03641951712504049,0.346853722154787
