年份,营业收入增长率,毛利率,营业利润率,净利率,归母净利率,总资产回报率ROA,净资产收益率ROE,资产负债率,流动比率,现金短债比,总有息债务占总资产比例,经营现金流净利润比,利息费用率,留存收益占股东权益比例
2021,,0.2182445269875461,0.11601425681975666,0.08407622388221857,0.04974413452948288,0.019637252798471724,0.09692506531340046,0.7973975799244908,1.2202315131774044,2.3956018603612783,0.13911172055726215,0.10804339508218891,0.017361716691939772,0.5190913852799979
2022,0.11272271269499456,0.19553707450978838,0.10326535202630276,0.07465203373826795,0.0450314094189745,0.02139745885940809,0.09272471338975756,0.7692367215041542,1.3131882683272729,2.0161174001567717,0.180705050862564,0.07312582728445118,0.011683413091600581,0.5318983728987521
2023,-0.07561808136259163,0.15234971840210262,0.06280705984890346,0.043920640199616,0.026114803282087935,0.01359308640404523,0.05076658268337919,0.7322434230245014,1.3997088052799838,1.5125498896426872,0.21505499585860433,0.1912596977695232,0.012319072564633117,0.5456082005099878
2024,-0.26315729583418723,0.10173067009183426,-0.13300387458353363,-0.1419209730748009,-0.1441778145060511,-0.037864770506946525,-0.14373104399785872,0.7365581613147495,1.2759849769977718,0.7015372726795254,0.1825177171257696,0.26365196428146653,0.021699314102271286,0.502768379471494
2025,-0.31978789547596587,0.09461172605673779,-0.3041520036863603,-0.3933042113596873,-0.3793660628283577,-0.08995496501249303,-0.38925662897618796,0.7689057595522776,1.2338577257107808,0.6085779285966219,0.2077407611035239,-0.06380956473623327,0.03641951712504049,0.346853722154787
